ENVIRONMENTAL METRICS (2022-2025),,,,,
,,,,,
Metric,2022,2023,2024,2025,Source Notes
"Carbon Emissions (Total GHG, tCO2e)",62166,50463,48495,48520,HVE Integrated Report 2025; p.43
GHG Scope 1 (tCO2e),40906,40906,42381,36238,HVE Integrated Report 2025; p.43
GHG Scope 2 (tCO2e),5091,7226,4889,3484,HVE Integrated Report 2025; p.43
GHG Scope 3 (tCO2e),2722,2331,1225,8798,HVE Integrated Report 2025; p.43
Energy Consumption (Renewable) - Bagasse Usage (tons),550339,531883,497095,528368,HVE Integrated Report 2025; p.25
Energy Consumption (Renewable) - Solar Energy Usage (KwH),7477,68392,38014,66833,HVE Integrated Report 2025; p.26
Energy Consumption - Coal Consumption (tons),14161,20009,14969,12646,HVE Integrated Report 2025; p.25
Energy Consumption - Inside Company Diesel Usage (litres),2426999,2447653,2530740,2325066,HVE Integrated Report 2025; p.26
Energy Consumption - Inside Company Petrol Usage (litres),108452,82766,96080,83760,HVE Integrated Report 2025; p.26
Energy Consumption - Outside Company Petrol Usage (litres),35252,31857,20401,19869,HVE Integrated Report 2025; p.26
Energy Consumption - Outside Company Diesel Usage (litres),3538042,3251617,2275735,3982880,HVE Integrated Report 2025; p.26
Energy Consumption - Electricity Generated (MWH),59804,57411,49154,58869,HVE Integrated Report 2025; p.27
Energy Consumption - Electricity Purchased (MWH),14334,12659,18257,10844,HVE Integrated Report 2025; p.27
Energy Consumption - Electricity Exported to National Grid (MWH),4541,3529,568,2657,HVE Integrated Report 2025; p.27
Water Usage - Irrigation Water Usage (million ML),185,181,185,164,HVE Integrated Report 2025; p.27
Water treatment (million ML),3.6,3.6,3,3.1,HVE Integrated Report 2025; p.28
Effluent discharge for Irrigation (thousand ML),276,297,360,328,HVE Integrated Report 2025; p.28
Waste Management - Recycled waste (excl. Boiler Ash) (tons),1023,1059,1545,1037,HVE Integrated Report 2025; p.29
Waste Management - Disposed waste (excl. Boiler Ash) (tons),17,46,637,95,HVE Integrated Report 2025; p.29
"Environment Incidents (Sewage blockage, Stillage overflow, Illegal waste disposal, Out of spec emissions, Effluent spillage, Water loss)",14,13,4,8,HVE Integrated Report 2025; p.29
Environment Incidents - Waste streams produced - General Waste (tons),974,1001,897,933,HVE Integrated Report 2025; p.30
Environment Incidents - Waste streams produced - Hazardous waste (tons),32,13,9,8,HVE Integrated Report 2025; p.30
Environment Incidents - Waste streams produced - Boiler ash (tons),7371,4923,3176,4162,HVE Integrated Report 2025; p.30
Environment Incidents - Waste streams produced - Recyclable waste (tons),17,45,637,95,HVE Integrated Report 2025; p.30